time,lon,lat,ssh,sst,diff_sst,typhoon_count,month,nb_typhoon_per_year
729754.0,271.76166373239437,24.334617077464788,0.44264740316901413,30.270554577464786,0.2953785211267608,0.0,12.0,0.0
730119.0,271.76166373239437,24.334617077464788,0.4809513644366198,29.81771566901408,0.319212147887324,1.0,12.0,1.0
730485.0,271.76166373239437,24.334617077464788,0.4597330545774648,29.693529929577462,0.321258802816903,5.0,12.0,4.0
730850.0,271.76166373239437,24.334617077464788,0.46562037852112675,29.805039612676058,0.3114876760563412,5.0,12.0,0.0
731215.0,271.76166373239437,24.334617077464788,0.4859836267605634,30.069850352112674,0.3146566901408434,5.0,12.0,0.0
731580.0,271.76166373239437,24.334617077464788,0.49532486795774655,30.02191901408451,0.28039172535211065,7.0,12.0,2.0
731946.0,271.76166373239437,24.334617077464788,0.47624190140845074,30.157064260563377,0.3884683098591566,7.0,12.0,0.0
732311.0,271.76166373239437,24.334617077464788,0.46517979753521127,30.510013204225352,0.2732614436619727,10.0,12.0,3.0
732676.0,271.76166373239437,24.334617077464788,0.4700631161971831,30.27702464788732,0.2699603873239411,13.0,12.0,3.0
733041.0,271.76166373239437,24.334617077464788,0.4767808538732395,30.2084286971831,0.28435299295774996,13.0,12.0,0.0
733407.0,271.76166373239437,24.334617077464788,0.49374198943661973,29.865911091549293,0.2865316901408441,18.0,12.0,5.0
733772.0,271.76166373239437,24.334617077464788,0.5041426496478874,30.386223591549296,0.24546654929577372,20.0,12.0,2.0
734137.0,271.76166373239437,24.334617077464788,0.4716002200704225,30.415338908450703,0.2853433098591509,23.0,12.0,3.0
734502.0,271.76166373239437,24.334617077464788,0.5018319982394366,30.73329665492958,0.2510123239436588,23.0,12.0,0.0
734868.0,271.76166373239437,24.334617077464788,0.5224163732394367,29.877926936619716,0.3033010563380252,23.0,12.0,0.0
735233.0,271.76166373239437,24.334617077464788,0.5057334066901409,30.020730633802813,0.2640845070422557,26.0,12.0,3.0
735598.0,271.76166373239437,24.334617077464788,0.5370314700704226,30.501298415492958,0.32799295774647774,29.0,12.0,3.0
735963.0,271.76166373239437,24.334617077464788,0.569684286971831,30.551936619718308,0.3651628521126753,30.0,12.0,1.0
